Date,GOOG,IE00B57X3V84
2023-06-20,113.2421855191933,55.42686468857573
2023-06-21,110.91399134929816,55.31406463420717
2023-06-22,112.5564523909461,54.81397305231235
2023-06-23,112.12815358353055,54.517312949776624
2023-06-26,109.06592952535266,54.68671144912014
2023-06-27,108.95462721065815,54.76844507214878
2023-06-28,110.37684632980108,54.72189209829867
2023-06-29,109.81619749971651,54.947679090759266
2023-06-30,111.1816068785356,55.824286290026066
2023-07-03,110.40377090169204,55.63142562234498
2023-07-04,111.29449179471112,55.64871925965463
2023-07-05,112.53211929092322,55.59053423460773
2023-07-06,111.26201244445838,54.72255207192802
2023-07-07,110.18955749292445,54.996786336715786
2023-07-10,106.41759407418704,54.44986720674706
2023-07-11,106.82973428699552,54.60685697435383
2023-07-12,108.48313885431617,55.60163573547061
